--- GLOBAL RESULTS ---
Metric,Solid_Baseline,Porous_Result,Change_Percent
CL (Lift Coeff),0.275966,0.275872,-0.03%
CD (Drag Coeff),0.038353,0.038357,0.01%

--- PANEL DISTRIBUTION DATA ---
Panel_ID,XC,YC,Nx,Ny,Panel_Length,Cp_Solid,Cp_Porous,Cp_Difference,V_leakage
194,0.110418,-0.072732,-0.222005,-0.975045,0.006311,-0.084457,-0.082906,0.001551,0.000000
195,0.116646,-0.074106,-0.209129,-0.977888,0.006445,-0.097238,-0.095827,0.001411,0.000000
196,0.123021,-0.075427,-0.196699,-0.980464,0.006577,-0.109007,-0.107714,0.001293,0.000000
197,0.129542,-0.076694,-0.184693,-0.982796,0.006708,-0.119824,-0.118631,0.001192,0.000000
198,0.136206,-0.077905,-0.173087,-0.984907,0.006838,-0.129747,-0.128641,0.001106,0.000000
199,0.143010,-0.079060,-0.161862,-0.986813,0.006965,-0.138827,-0.137797,0.001030,0.000000
200,0.149951,-0.080159,-0.150998,-0.988534,0.007091,-0.147114,-0.146150,0.000963,0.000000
201,0.157028,-0.081201,-0.140479,-0.990084,0.007215,-0.154652,-0.153747,0.000905,0.000000
202,0.164237,-0.082186,-0.130290,-0.991476,0.007337,-0.161483,-0.160630,0.000853,0.000000
203,0.171575,-0.083113,-0.120415,-0.992724,0.007456,-0.167646,-0.166840,0.000806,0.000000
204,0.179040,-0.083982,-0.110841,-0.993838,0.007574,-0.173177,-0.172413,0.000765,0.000000
205,0.186628,-0.084792,-0.101557,-0.994830,0.007689,-0.178111,-0.177384,0.000727,0.000000
206,0.194338,-0.085544,-0.092551,-0.995708,0.007802,-0.182479,-0.181786,0.000693,0.000000
207,0.202165,-0.086236,-0.083812,-0.996482,0.007913,-0.186311,-0.185648,0.000662,0.000000
208,0.210107,-0.086870,-0.075332,-0.997159,0.008021,-0.189635,-0.189001,0.000634,0.000000
209,0.218160,-0.087445,-0.067101,-0.997746,0.008127,-0.192480,-0.191871,0.000609,0.000000
210,0.226323,-0.087961,-0.059110,-0.998251,0.008230,-0.194868,-0.194283,0.000586,0.000000
211,0.234591,-0.088418,-0.051353,-0.998681,0.008331,-0.196826,-0.196262,0.000564,0.000000
212,0.242961,-0.088816,-0.043822,-0.999039,0.008429,-0.198375,-0.197831,0.000545,0.000000
213,0.251430,-0.089157,-0.036510,-0.999333,0.008524,-0.199538,-0.199011,0.000527,0.000000
214,0.259996,-0.089439,-0.029410,-0.999567,0.008616,-0.200335,-0.199825,0.000511,0.000000
215,0.268653,-0.089664,-0.022517,-0.999746,0.008705,-0.200787,-0.200291,0.000496,0.000000
216,0.277400,-0.089831,-0.015825,-0.999875,0.008792,-0.200911,-0.200429,0.000482,0.000000
217,0.286233,-0.089942,-0.009328,-0.999956,0.008875,-0.200726,-0.200257,0.000469,0.000000
218,0.295148,-0.089997,-0.003021,-0.999995,0.008955,-0.200250,-0.199793,0.000457,0.000000
219,0.304142,-0.089997,0.003101,-0.999995,0.009033,-0.199499,-0.199052,0.000447,0.000000
220,0.313212,-0.089941,0.009044,-0.999959,0.009107,-0.198489,-0.198052,0.000437,0.000000
221,0.322353,-0.089832,0.014811,-0.999890,0.009178,-0.197235,-0.196807,0.000428,0.000000
222,0.331563,-0.089670,0.020407,-0.999792,0.009245,-0.195751,-0.195332,0.000419,0.000000
223,0.340838,-0.089455,0.025838,-0.999666,0.009310,-0.194053,-0.193641,0.000412,0.000000
224,0.350175,-0.089189,0.031107,-0.999516,0.009371,-0.192152,-0.191747,0.000405,0.000000
225,0.359569,-0.088873,0.036218,-0.999344,0.009428,-0.190062,-0.189663,0.000399,0.000000
226,0.369017,-0.088507,0.041177,-0.999152,0.009482,-0.187794,-0.187401,0.000393,0.000000
227,0.378516,-0.088093,0.045987,-0.998942,0.009533,-0.185361,-0.184973,0.000388,0.000000
228,0.388061,-0.087631,0.050651,-0.998716,0.009580,-0.182774,-0.182390,0.000384,0.000000
229,0.397650,-0.087123,0.055175,-0.998477,0.009624,-0.180042,-0.179662,0.000380,0.000000
230,0.407278,-0.086569,0.059563,-0.998225,0.009664,-0.177176,-0.176799,0.000377,0.000000
231,0.416942,-0.085972,0.063817,-0.997962,0.009701,-0.174185,-0.173812,0.000374,0.000000
232,0.426638,-0.085332,0.067943,-0.997689,0.009734,-0.171079,-0.170708,0.000371,0.000000
233,0.436363,-0.084650,0.071944,-0.997409,0.009763,-0.167865,-0.167496,0.000369,0.000000
234,0.446111,-0.083928,0.075825,-0.997121,0.009788,-0.164552,-0.164185,0.000368,0.000000
235,0.455881,-0.083166,0.079588,-0.996828,0.009810,-0.161148,-0.160781,0.000367,0.000000
236,0.465668,-0.082367,0.083237,-0.996530,0.009828,-0.157658,-0.157292,0.000366,0.000000
237,0.475467,-0.081531,0.086777,-0.996228,0.009843,-0.154090,-0.153725,0.000366,0.000000
238,0.485277,-0.080659,0.090212,-0.995923,0.009853,-0.150451,-0.150085,0.000366,0.000000
239,0.495092,-0.079753,0.093544,-0.995615,0.009860,-0.146745,-0.146378,0.000367,0.000000
240,0.504908,-0.078815,0.096779,-0.995306,0.009863,-0.142977,-0.142610,0.000368,0.000000
