panel_id,XB_start_m,YB_start_m,XB_end_m,YB_end_m,XC_m,YC_m,XC_over_c,YC_over_c,panel_length_m,tx,ty,nx,ny,Vt_m_s,Cp,normal_transpiration_m_s,is_pore1_panel,is_pore2_panel
27,0.992822297574499,-0.0015576565995684118,0.9922821672646027,-0.001674287624504926,0.9925522324195508,-0.0016159721120366688,0.9925522324195508,-0.0016159721120366688,0.0005525789967474496,-0.977471661202432,-0.21106669928285227,0.2110666992828522,-0.977471661202432,-5.714569411649027,0.3950016601165751,0.0,0,0
28,0.9922821672646027,-0.001674287624504926,0.9917226024976649,-0.0017950293876031072,0.9920023848811338,-0.0017346585060540166,0.9920023848811338,-0.0017346585060540166,0.000572443273830934,-0.977502562294271,-0.21092354232786553,0.21092354232786503,-0.9775025622942711,-5.745788879463774,0.38837322744186453,0.0,0,0
29,0.9917226024976649,-0.0017950293876031072,0.9911436253643444,-0.00191986814033354,0.9914331139310046,-0.0018574487639683238,0.9914331139310046,-0.0018574487639683238,0.000592283070069753,-0.9775344975710015,-0.21077548732860193,0.21077548732860232,-0.9775344975710014,-5.776179438938371,0.3818860984964091,0.0,0,0
30,0.9911436253643444,-0.00191986814033354,0.990545258721667,-0.00204878969003649,0.9908444420430057,-0.001984328915185015,0.9908444420430057,-0.001984328915185015,0.0006120975453690915,-0.9775674599652516,-0.2106225562875122,0.21062255628751214,-0.9775674599652516,-5.8057973202367785,0.3755309773199983,0.0,0,0
31,0.990545258721667,-0.00204878969003649,0.9899275261921234,-0.002181779403727432,0.9902363924568952,-0.002115284546881961,0.9902363924568952,-0.002115284546881961,0.000631885861531876,-0.9776014422066567,-0.2104647718632858,0.21046477186328574,-0.9776014422066567,-5.834693918398224,0.369299296724806,0.0,0,0
32,0.9899275261921234,-0.002181779403727432,0.989290452162736,-0.0023188222120064895,0.9896089891774298,-0.002250300807866961,0.9896089891774298,-0.002250300807866961,0.0006516471823164005,-0.9776364368258285,-0.21030215736054164,0.210302157360542,-0.9776364368258283,-5.862916415105645,0.3631831240267972,0.0,0,0
33,0.989290452162736,-0.0023188222120064895,0.9886340617840967,-0.0024599026130687966,0.9889622569734164,-0.002389362412537643,0.9889622569734164,-0.002389362412537643,0.0006713806734886968,-0.9776724361582984,-0.21013473671979632,0.21013473671979582,-0.9776724361582985,-5.890508316178206,0.3571750785236263,0.0,0,0
34,0.9886340617840967,-0.0024599026130687966,0.9879583809693737,-0.0026050046768131036,0.9882962213767352,-0.00253245364494095,0.9882962213767352,-0.00253245364494095,0.0006910855028776289,-0.9777094323488746,-0.20996253450566188,0.20996253450566182,-0.9777094323488746,-5.917509921432438,0.3512682582386306,0.0,0,0
35,0.9879583809693737,-0.0026050046768131036,0.9872634363932886,-0.0027541120490468846,0.9876109086813312,-0.002679558362929994,0.9876109086813312,-0.002679558362929994,0.0007107608404270466,-0.9777474173556826,-0.2097855758966582,0.2097855758966581,-0.9777474173556827,-5.943958741065762,0.3454561737446258,0.0,0,0
36,0.9872634363932886,-0.0027541120490468846,0.9865492554910633,-0.0029072079557843768,0.986906345942176,-0.0028306600024156307,0.986906345942176,-0.0028306600024156307,0.0007304058582480858,-0.977786382954678,-0.209603886672952,0.20960388667295193,-0.977786382954678,-5.96988987099785,0.3397326870563704,0.0,0,0
